Exp	Resp
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Human	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Automated	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Humanvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Automatedvoice	Yes
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Human	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Automated	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Humanvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No
Automatedvoice	No