Year,Start Date,End Date,Days Active,Storm Name,Storm Category,Max Wind (mph),Min Pressure mbar,Damage $millions,Deaths,Caribbean,Florida,US Gulf Coast,US East Coast,Canada,Mexico,Central America,Africa
2019,10/25/2019,10/28/2019,4,Pablo,1,80,977,0,0,0,0,0,0,0,0,0,0
2019,9/23/2019,10/2/2019,10,Lorenzo,5,160,925,0,0,0,0,0,0,0,0,0,0
2019,9/17/2019,9/24/2019,8,Jerry,2,105,976,0,0,1,0,0,0,0,0,0,0
2019,9/13/2019,9/19/2019,7,Humberto,3,125,950,25,2,1,0,0,1,1,0,0,0
2019,8/24/2019,9/7/2019,15,Dorian,5,185,910,5070,84,1,0,0,1,1,0,0,0
2019,7/11/2019,7/15/2019,5,Barry,1,75,993,700,1,0,0,0,1,0,0,0,0
2018,10/26/2018,10/31/2018,6,Oscar,2,110,966,0,0,0,0,0,0,0,0,0,0
2018,10/7/2018,10/11/2018,5,Michael,5,160,919,25100,74,1,1,0,1,1,0,0,0
2018,9/23/2018,10/13/2018,21,Leslie,1,90,968,500,16,1,0,0,1,0,0,0,0
2018,9/7/2018,9/15/2018,9,Isaac,1,75,995,0,0,1,0,0,0,0,0,0,1
2018,9/7/2018,9/16/2018,10,Helene,2,110,967,0,3,0,0,0,0,0,0,0,1
2018,8/31/2018,9/17/2018,18,Florence,4,150,937,24200,54,0,0,0,1,1,0,0,1
2018,7/6/2018,7/12/2018,7,Chris,2,105,969,0,1,1,0,0,1,1,0,0,0
2018,7/4/2018,7/15/2018,12,Beryl,1,80,991,0,0,1,0,0,0,1,0,0,0
2017,10/9/2017,10/15/2017,7,Ophelia,3,115,959,87.7,5,0,0,0,0,0,0,0,0
2017,10/4/2017,10/8/2017,5,Nate,1,90,981,787,48,1,1,0,1,1,1,1,0
2017,9/16/2017,9/30/2017,15,Maria,5,175,908,91610,3059,1,0,0,1,0,0,0,0
2017,9/15/2017,9/30/2017,16,Lee,3,115,962,0,0,0,0,0,0,0,0,0,0
2017,9/5/2017,9/9/2017,5,Katia,2,103,972,3.3,3,0,0,0,0,0,1,0,0
2017,9/5/2017,9/25/2017,21,Jose,4,155,938,2.8,1,1,0,0,1,0,0,0,0
2017,8/30/2017,9/12/2017,14,Irma,5,177,914,77600,134,1,1,0,1,0,0,0,0
2017,8/17/2017,9/2/2017,18,Harvey,4,134,937,125000,107,1,0,1,0,0,0,1,0
2017,8/12/2017,8/18/2017,7,Gert,2,110,962,0,2,1,0,0,1,0,0,0,0
2017,8/7/2017,8/10/2017,4,Franklin,1,85,981,15,0,1,0,0,0,0,1,1,0
2016,1/12/2016,1/15/2016,4,Alex,1,85,981,0,0,1,0,0,0,0,0,0,1
2016,8/2/2016,8/6/2016,5,Earl,1,85,979,250,106,1,0,0,0,0,1,1,0
2016,8/22/2016,9/2/2016,12,Gaston,3,120,955,0,0,0,0,0,0,0,0,0,1
2016,8/28/2016,9/3/2016,7,Hermine,1,80,981,550,5,1,1,0,1,1,0,0,0
2016,9/28/2016,10/9/2016,12,Matthew,5,165,934,15090,603,1,0,0,1,1,0,0,0
2016,10/4/2016,10/18/2016,15,Nicole,4,140,950,15,1,1,0,0,0,0,0,0,0
2016,11/20/2016,11/25/2016,6,Otto,3,115,975,190,23,0,0,0,0,0,0,1,0
2015,8/18/2015,8/24/2015,7,Danny,3,125,960,0,0,1,0,0,0,0,0,0,0
2015,8/30/2015,9/6/2015,8,Fred,1,85,986,1.1,9,0,0,0,0,0,0,0,1
2015,9/28/2015,10/8/2015,11,Joaquin,4,155,931,200,34,1,0,0,1,0,0,0,0
2015,11/8/2015,11/11/2015,4,Kate,1,85,980,0,0,1,0,0,0,0,0,0,0
2014,7/1/2014,7/5/2014,5,Arthur,2,100,973,22.7,1,1,0,0,1,1,0,0,0
2014,8/1/2014,8/6/2014,6,Bertha,1,80,998,0,4,1,0,0,1,0,0,0,0
2014,9/11/2014,9/19/2014,9,Edouard,3,120,955,0,2,0,0,0,1,0,0,0,0
2014,10/10/2014,10/13/2014,4,Fay,1,80,983,3.8,0,1,0,0,0,0,0,0,0
2014,10/12/2014,10/19/2014,8,Gonzalo,4,145,940,200,6,1,0,0,0,1,0,0,0
2013,9/8/2013,9/19/2013,12,Humberto,1,90,979,0,0,0,0,0,0,0,0,0,1
2013,9/12/2013,9/17/2013,6,Ingrid,1,85,983,1500,23,0,0,1,0,0,1,0,0
2012,6/18/2012,6/22/2012,5,Chris,1,85,974,0,0,1,0,0,0,1,0,0,0
2012,8/1/2012,8/10/2012,10,Ernesto,2,100,973,174,12,1,0,0,0,0,1,1,0
2012,8/15/2012,8/20/2012,6,Gordon,2,110,965,8,0,0,0,0,0,0,0,0,1
2012,8/21/2012,9/1/2012,12,Isaac,1,80,965,2390,41,1,0,1,0,0,0,0,0
2012,8/28/2012,9/2/2012,6,Kirk,2,105,970,0,0,0,0,0,0,0,0,0,0
2012,8/30/2012,9/11/2012,13,Leslie,1,80,968,10.1,0,1,0,0,0,1,0,0,0
2012,9/3/2012,9/11/2012,9,Michael,3,115,964,0,0,0,0,0,0,0,0,0,0
2012,9/10/2012,10/4/2012,25,Nadine,1,90,978,0,0,0,0,0,0,0,0,0,1
2012,10/12/2012,10/17/2012,6,Rafael,1,90,969,2,1,1,0,0,1,1,0,0,0
2012,10/22/2012,10/29/2012,8,Sandy,3,115,940,75000,286,1,0,0,1,1,0,0,0
2011,8/21/2011,8/28/2011,8,Irene,3,120,942,16500,56,1,0,0,1,1,0,0,0
2011,8/29/2011,9/10/2011,13,Katia,4,140,942,157,4,1,0,0,1,1,0,0,0
2011,9/6/2011,9/16/2011,11,Maria,1,80,983,0,0,1,0,0,0,1,0,0,0
2011,9/7/2011,9/11/2011,5,Nate,1,75,994,0,5,0,0,0,0,0,1,0,0
2011,9/20/2011,10/3/2011,14,Ophelia,4,140,940,0,0,1,0,0,0,1,0,0,0
2011,9/24/2011,10/8/2011,15,Philippe,1,90,976,0,0,0,0,0,0,0,0,0,0
2011,10/23/2011,10/28/2011,6,Rina,3,115,966,0,0,1,1,0,0,0,1,1,0
2010,6/25/2010,7/2/2010,8,Alex,2,110,946,1890,52,1,0,1,0,0,1,1,0
2010,8/21/2010,8/30/2010,10,Danielle,4,130,942,0,2,1,0,0,1,0,0,0,0
2010,8/25/2010,9/4/2010,11,Earl,4,145,927,45,8,1,0,0,1,1,0,0,0
2010,9/8/2010,9/21/2010,14,Igor,4,155,924,200,4,1,0,0,1,1,0,0,0
2010,9/12/2010,9/20/2010,9,Julia,4,140,948,0,0,1,0,0,0,0,0,0,0
2010,9/14/2010,9/18/2010,5,Karl,3,125,956,3900,22,0,0,0,0,0,1,1,0
2010,9/20/2010,9/26/2010,7,Lisa,1,85,982,0,0,0,0,0,0,0,0,0,0
2010,10/6/2010,10/10/2010,5,Otto,1,85,976,22,0,1,0,0,0,0,0,0,0
2010,10/11/2010,10/15/2010,5,Paula,2,105,981,200,1,1,1,0,0,0,1,1,0
2010,10/20/2010,10/26/2010,7,Richard,2,100,977,80,2,1,0,0,0,0,1,1,0
2010,10/28/2010,10/30/2010,3,Shary,1,75,989,0,0,1,0,0,0,0,0,0,0
2010,10/29/2010,11/7/2010,10,Tomas,2,100,982,741,51,1,0,0,0,0,0,0,0
2009,8/15/2009,8/24/2009,10,Bill,4,130,943,46.2,2,1,0,0,1,1,0,0,0
2009,9/7/2009,9/12/2009,6,Fred,3,120,958,0,0,0,0,0,0,0,0,0,1
2009,11/4/2009,11/10/2009,7,Ida,2,105,975,11.3,4,1,0,0,1,0,1,1,0
2008,7/3/2008,7/20/2008,18,Bertha,3,125,952,0,3,1,0,0,1,0,0,0,1
2008,7/20/2008,7/25/2008,6,Dolly,2,100,963,1350,22,0,0,1,0,0,1,0,0
2008,8/25/2008,9/4/2008,11,Gustav,4,155,941,6610,153,1,0,1,0,0,0,0,0
2008,8/28/2008,9/7/2008,11,Hanna,1,85,977,160,537,1,0,0,1,1,0,0,0
2008,9/1/2008,9/14/2008,14,Ike,4,145,935,37500,195,1,0,1,0,1,0,0,0
2008,9/25/2008,9/29/2008,5,Kyle,1,85,984,57.1,8,1,0,0,1,1,0,0,0
2008,10/13/2008,10/18/2008,6,Omar,4,130,958,79,1,1,0,0,0,0,0,0,0
2008,11/5/2008,11/10/2008,6,Paloma,4,145,944,454.5,1,1,1,0,0,0,0,1,0
2007,8/13/2007,8/23/2007,11,Dean,5,175,905,1660,45,1,0,0,0,0,1,1,0
2007,8/31/2007,9/5/2007,6,Felix,5,175,929,720,133,1,0,0,0,0,1,1,0
2007,9/12/2007,9/14/2007,3,Humberto,1,90,985,50,0,0,0,1,1,0,0,0,0
2007,9/25/2007,9/29/2007,5,Karen,1,75,988,0,0,0,0,0,0,0,0,0,0
2007,9/25/2007,9/28/2007,4,Lorenzo,1,80,990,92,6,0,0,0,0,0,1,0,0
2007,10/28/2007,11/2/2007,6,Noel,1,80,980,580,222,1,1,0,1,1,0,0,0
2006,8/24/2006,9/1/2006,9,Ernesto,1,75,985,500,11,1,1,0,1,1,0,0,0
2006,9/3/2006,9/13/2006,11,Florence,1,90,974,0.2,0,1,0,0,1,1,0,0,0
2006,9/11/2006,9/20/2006,10,Gordon,3,120,955,3.8,0,0,0,0,0,0,0,0,1
2006,9/12/2006,9/24/2006,13,Helene,3,120,955,0,0,0,0,0,0,0,0,0,0
2006,9/27/2006,10/2/2006,6,Isaac,1,85,985,0,0,0,0,0,0,1,0,0,0
2005,7/3/2005,7/7/2005,5,Cindy,1,75,991,320,5,0,0,0,1,0,1,0,0
2005,7/4/2005,7/13/2005,10,Dennis,4,150,930,3710,88,1,0,0,1,0,0,0,0
2005,7/11/2005,7/21/2005,11,Emily,5,160,929,1014,17,1,0,1,0,0,1,1,0
2005,8/4/2005,8/18/2005,15,Irene,2,105,970,0,1,0,0,0,1,0,0,0,0
2005,8/23/2005,8/30/2005,8,Katrina,5,175,902,108000,1836,1,1,0,1,0,0,0,0
2005,9/1/2005,9/10/2005,10,Maria,3,115,962,3.1,4,0,0,0,0,0,0,0,0
2005,9/5/2005,9/10/2005,6,Nate,1,90,979,0,2,1,0,0,0,0,0,0,1
2005,9/6/2005,9/17/2005,12,Ophelia,1,85,976,70,3,1,1,0,1,1,0,0,0
2005,9/17/2005,9/23/2005,7,Philippe,1,80,985,0,0,1,0,0,0,0,0,0,0
2005,9/18/2005,9/26/2005,9,Rita,5,180,895,12000,125,1,1,1,0,0,0,0,0
2005,10/1/2005,10/5/2005,5,Stan,1,80,977,3960,1668,0,0,0,0,0,1,1,0
2005,10/8/2005,10/11/2005,4,Vince,1,75,988,0,0,0,0,0,0,0,0,0,0
2005,10/15/2005,10/26/2005,12,Wilma,5,185,882,29400,87,1,1,0,0,1,0,1,0
2005,10/26/2005,10/31/2005,6,Beta,3,115,962,15.5,9,0,0,0,0,0,0,1,0
2005,11/29/2005,12/8/2005,10,Epsilon,1,85,981,0,0,0,0,0,0,0,0,0,0
2004,7/31/2004,8/6/2004,7,Alex,3,120,957,7.5,1,0,0,0,1,1,0,0,0
2004,8/9/2004,8/14/2004,6,Charley,4,150,941,16300,35,1,1,0,0,0,0,0,0
2004,8/13/2004,8/21/2004,9,Danielle,2,110,964,0,0,0,0,0,0,0,0,0,0
2004,8/24/2004,9/10/2004,18,Frances,4,145,935,9800,49,1,0,0,1,1,0,0,0
2004,8/27/2004,9/1/2004,6,Gaston,1,75,985,130,9,0,0,0,1,1,0,0,0
2004,9/2/2004,9/24/2004,23,Ivan,5,165,910,23300,126,1,0,1,1,1,0,0,0
2004,9/13/2004,9/28/2004,16,Jeanne,3,120,950,7660,3042,1,1,0,1,1,0,0,0
2004,9/16/2004,9/24/2004,9,Karl,4,145,938,0,0,0,0,0,0,0,0,0,0
2004,9/19/2004,10/3/2004,15,Lisa,1,75,987,0,0,0,0,0,0,0,0,0,0
2003,7/8/2003,7/17/2003,10,Claudette,1,90,979,181,3,0,0,1,0,0,1,0,0
2003,7/16/2003,7/21/2003,6,Danny,1,75,1000,0,0,0,0,0,0,0,0,0,0
2003,8/14/2003,8/17/2003,4,Erika,1,75,988,0.1,2,0,0,0,0,0,1,0,0
2003,8/25/2003,9/8/2003,15,Fabian,4,145,939,300,8,1,0,0,0,0,0,0,0
2003,9/6/2003,9/20/2003,15,Isabel,5,165,915,5370,50,1,0,0,1,1,0,0,0
2003,9/24/2003,9/29/2003,6,Juan,2,105,969,200,5,0,0,0,0,1,0,0,0
2003,9/25/2003,10/7/2003,13,Kate,3,125,952,0,0,0,0,0,0,0,0,0,0
2002,9/8/2002,9/12/2002,5,Gustav,2,100,960,0.34,4,0,0,0,1,0,0,0,0
2002,9/14/2002,9/27/2002,14,Isidore,3,125,934,1300,22,1,0,1,0,0,1,0,0
2002,9/20/2002,10/12/2002,23,Kyle,1,85,980,5,1,1,1,0,1,0,0,0,0
2002,9/21/2002,10/4/2002,14,Lili,4,145,938,925,15,1,0,1,0,0,0,0,0
2001,9/1/2001,9/15/2001,15,Erin,3,120,968,0,0,1,0,0,0,0,0,0,0
2001,9/7/2001,9/19/2001,13,Felix,3,115,962,0,0,0,0,0,0,0,0,0,0
2001,9/11/2001,9/19/2001,9,Gabrielle,1,80,975,230,3,0,1,0,0,1,0,0,0
2001,9/21/2001,9/27/2001,7,Humberto,2,105,970,0,0,1,0,0,0,0,0,0,0
2001,10/4/2001,10/9/2001,6,Iris,4,145,948,140,31,1,0,0,0,0,1,1,0
2001,10/12/2001,10/15/2001,4,Karen,1,80,982,1.4,0,0,0,0,0,1,0,0,0
2001,10/29/2001,11/5/2001,8,Michelle,4,140,933,2000,17,1,0,0,0,0,0,1,0
2001,11/4/2001,11/6/2001,3,Noel,1,75,986,0,0,0,0,0,0,0,0,0,0
2001,11/24/2001,12/4/2001,11,Olga,1,90,973,0,0,1,0,0,0,0,0,0,0
2000,8/3/2000,8/23/2000,21,Alberto,3,125,950,0,0,0,0,0,1,0,0,0,1
2000,8/19/2000,8/24/2000,6,Debby,1,85,991,0.735,1,1,1,0,0,0,0,0,0
2000,9/10/2000,9/17/2000,8,Florence,1,80,985,0,3,1,0,0,1,1,0,0,0
